system_id,system_type,evidence_item,priority,status,acceptable_for_approval,notes
SYS006,early_alert_prediction,DPIA summary,Critical,Missing,No,Demo governance evidence status for validator testing
SYS006,early_alert_prediction,Equality impact assessment,Critical,Missing,No,Demo governance evidence status for validator testing
SYS006,early_alert_prediction,Vendor model card,High,Partial,Yes,Demo governance evidence status for validator testing
SYS006,early_alert_prediction,Monitoring schedule,High,Missing,Yes,Demo governance evidence status for validator testing
SYS006,early_alert_prediction,Incident log process,High,Missing,Yes,Demo governance evidence status for validator testing
SYS006,early_alert_prediction,Rollback or suspension plan,Critical,Partial,Yes,Demo governance evidence status for validator testing
SYS007,enrolment_forecasting,System description and intended use,Critical,Partial,Yes,Demo governance evidence status for validator testing
SYS007,enrolment_forecasting,Named accountable owner,Critical,Partial,Yes,Demo governance evidence status for validator testing
SYS007,enrolment_forecasting,Decision influence map,Critical,Partial,Yes,Demo governance evidence status for validator testing
SYS007,enrolment_forecasting,Data dictionary,Critical,Partial,Yes,Demo governance evidence status for validator testing
SYS007,enrolment_forecasting,Demographic coverage summary,High,Partial,Yes,Demo governance evidence status for validator testing
SYS007,enrolment_forecasting,Fairness and performance results,Critical,Partial,Yes,Demo governance evidence status for validator testing
SYS007,enrolment_forecasting,False positive testing,Critical,Partial,Yes,Demo governance evidence status for validator testing
SYS007,enrolment_forecasting,Human oversight procedure,Critical,Partial,Yes,Demo governance evidence status for validator testing
SYS007,enrolment_forecasting,Student notice text,High,Partial,Yes,Demo governance evidence status for validator testing
SYS007,enrolment_forecasting,Appeal and challenge route,Critical,Partial,Yes,Demo governance evidence status for validator testing
SYS007,enrolment_forecasting,DPIA summary,Critical,Partial,Yes,Demo governance evidence status for validator testing
SYS007,enrolment_forecasting,Equality impact assessment,Critical,Partial,Yes,Demo governance evidence status for validator testing
SYS007,enrolment_forecasting,Vendor model card,High,Partial,Yes,Demo governance evidence status for validator testing
SYS007,enrolment_forecasting,Monitoring schedule,High,Partial,Yes,Demo governance evidence status for validator testing
SYS007,enrolment_forecasting,Incident log process,High,Partial,Yes,Demo governance evidence status for validator testing
SYS007,enrolment_forecasting,Rollback or suspension plan,Critical,Partial,Yes,Demo governance evidence status for validator testing
SYS008,automated_essay_scoring,System description and intended use,Critical,Missing,No,Demo governance evidence status for validator testing
SYS008,automated_essay_scoring,Named accountable owner,Critical,Missing,No,Demo governance evidence status for validator testing
SYS008,automated_essay_scoring,Decision influence map,Critical,Missing,No,Demo governance evidence status for validator testing
SYS008,automated_essay_scoring,Data dictionary,Critical,Missing,No,Demo governance evidence status for validator testing
SYS008,automated_essay_scoring,Demographic coverage summary,High,Provided,Yes,Demo governance evidence status for validator testing
SYS008,automated_essay_scoring,Fairness and performance results,Critical,Missing,No,Demo governance evidence status for validator testing
SYS008,automated_essay_scoring,False positive testing,Critical,Missing,No,Demo governance evidence status for validator testing
SYS008,automated_essay_scoring,Human oversight procedure,Critical,Missing,No,Demo governance evidence status for validator testing
SYS008,automated_essay_scoring,Student notice text,High,Provided,Yes,Demo governance evidence status for validator testing
SYS008,automated_essay_scoring,Appeal and challenge route,Critical,Missing,No,Demo governance evidence status for validator testing
SYS008,automated_essay_scoring,DPIA summary,Critical,Missing,No,Demo governance evidence status for validator testing
SYS008,automated_essay_scoring,Equality impact assessment,Critical,Missing,No,Demo governance evidence status for validator testing
SYS008,automated_essay_scoring,Vendor model card,High,Provided,Yes,Demo governance evidence status for validator testing
SYS008,automated_essay_scoring,Monitoring schedule,High,Provided,Yes,Demo governance evidence status for validator testing
SYS008,automated_essay_scoring,Incident log process,High,Missing,Yes,Demo governance evidence status for validator testing
SYS008,automated_essay_scoring,Rollback or suspension plan,Critical,Missing,No,Demo governance evidence status for validator testing
