student_id,gender,subject_area,socioeconomic_band,prior_ai_experience,ai_training_completed,ai_confidence_score_1_5,actual_ai_use,writing_formality_score,paraphrase_similarity_score,source_citation_quality_score,detector_score,detection_flag,human_review_completed,misconduct_case_opened,appeal_submitted,appeal_successful,is_false_positive,is_false_negative,stress_test_note,actual_ai_use_binary,detection_flag_binary,false_positive_binary,false_negative_binary,appeal_success_binary,system_type,case_study
STUD00027,Male,Social Sciences,Medium,Medium,Yes,4.73,No,0.504,0.495,0.275,0.542,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00028,Female,Social Sciences,High,High,No,3.91,Yes,0.618,0.64,0.877,0.531,No,No,No,No,No,No,Yes,Synthetic demonstration only - not real student data,1,0,0,1,0,ai_detection_tool,AI detection fairness stress test
STUD00029,Female,Education,Low,Medium,No,2.92,Yes,0.555,0.518,0.947,0.777,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00030,Male,Social Sciences,High,Low,Yes,3.04,No,0.633,0.402,0.354,0.445,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00031,Female,Arts & Humanities,Medium,Medium,No,3.02,Yes,0.851,0.827,0.529,0.776,Yes,Yes,Yes,Yes,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00032,Female,Business,Medium,High,Yes,2.55,Yes,0.424,0.793,0.673,0.771,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00033,Male,Social Sciences,Medium,Medium,No,4.08,No,0.6,0.188,0.424,0.161,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00034,Female,Arts & Humanities,High,High,Yes,3.9,Yes,0.415,0.689,0.53,0.903,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00035,Female,Business,Low,Low,No,2.5,No,0.47,0.262,0.464,0.28,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00036,Female,Health,Medium,Low,No,1.78,Yes,0.431,0.652,0.84,0.72,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00037,Female,Health,High,Medium,No,4.5,No,0.416,0.346,0.341,0.364,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00038,Male,Health,Low,Medium,Yes,2.68,No,0.579,0.199,0.519,0.198,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00039,Female,Business,Low,Low,No,2.65,No,0.609,0.315,0.487,0.224,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00040,Female,Business,High,Medium,No,3.65,No,0.689,0.18,0.536,0.282,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00041,Female,Health,High,High,Yes,3.74,Yes,0.359,0.729,0.825,0.656,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00042,Female,STEM,Low,Medium,No,2.96,Yes,0.358,0.779,0.885,0.748,Yes,Yes,Yes,Yes,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00043,Female,Business,Medium,Medium,No,3.29,Yes,0.414,0.845,0.657,0.862,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00044,Male,Health,Low,High,Yes,3.95,Yes,0.727,0.869,0.584,0.729,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00045,Female,Arts & Humanities,Low,Medium,No,3.2,Yes,0.583,0.574,0.88,0.832,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00046,Male,STEM,High,High,No,4.08,Yes,0.798,0.683,0.521,0.839,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00047,Male,Education,High,Low,No,3.63,No,0.299,0.29,0.085,0.285,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00048,Male,Business,High,Medium,Yes,4.87,No,0.593,0.324,0.719,0.22,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00049,Female,Health,Low,Medium,No,3.09,No,0.621,0.214,0.863,0.224,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00050,Female,Social Sciences,Medium,Low,No,2.0,No,0.516,0.129,0.231,0.346,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00051,Female,Business,Low,Medium,No,2.11,No,0.553,0.377,0.389,0.279,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00052,Female,STEM,Low,Low,No,1.86,No,0.564,0.426,0.262,0.4,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00053,Non-disclosed,Arts & Humanities,Low,Low,Yes,2.46,Yes,0.74,0.493,0.669,0.908,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00054,Male,Education,Medium,Medium,No,3.42,Yes,0.881,0.773,0.299,0.836,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00055,Female,STEM,Low,Medium,No,3.71,No,0.704,0.407,0.425,0.196,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00056,Female,Education,Low,High,No,3.35,No,0.496,0.066,0.582,0.278,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00057,Male,STEM,Low,Low,Yes,2.02,No,0.626,0.357,0.9,0.272,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00058,Male,Social Sciences,Medium,High,No,3.42,No,0.421,0.515,0.314,0.101,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00059,Male,STEM,Medium,Low,No,2.51,Yes,0.464,0.523,0.371,0.871,Yes,Yes,Yes,Yes,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00060,Female,Business,High,Low,No,2.38,No,1,0.15,0.483,0.272,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00061,Female,Health,Medium,Medium,No,3.41,No,0.713,0.314,0.554,0.239,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00062,Male,Education,Medium,Medium,Yes,4.03,No,0.639,0.205,0.47,0.306,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00063,Female,Social Sciences,Medium,Medium,No,2.6,No,0.433,0.434,0.708,0.309,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00064,Male,STEM,High,Medium,No,2.79,No,0.831,0.659,0.447,0.332,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00065,Female,Arts & Humanities,Low,Medium,No,3.52,Yes,0.507,0.747,0.446,0.739,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00066,Non-disclosed,STEM,Medium,Medium,No,2.34,No,0.752,0.174,0.498,0.489,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00067,Female,Social Sciences,High,Medium,Yes,2.94,No,0.843,0.295,0.627,0.214,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00068,Male,Business,Medium,Medium,Yes,3.41,No,0.455,0.332,0.629,0.239,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00069,Male,Arts & Humanities,Medium,High,No,4.89,Yes,0.194,0.882,0.679,0.516,No,No,No,No,No,No,Yes,Synthetic demonstration only - not real student data,1,0,0,1,0,ai_detection_tool,AI detection fairness stress test
STUD00070,Male,Business,Medium,Medium,No,2.85,No,0.468,0.308,0.084,0.364,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00071,Female,Health,High,Medium,No,3.6,Yes,0.399,0.611,0.332,0.745,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00072,Male,Social Sciences,Medium,High,Yes,3.97,No,0.761,0.313,0.486,0.051,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00073,Female,Health,Medium,Low,Yes,1.68,No,0.52,0.359,0.684,0.453,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00074,Female,Social Sciences,Medium,Low,Yes,1.84,No,0.929,0.346,0.84,0.277,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00075,Female,Arts & Humanities,Medium,Medium,No,2.61,No,0.656,0.426,0.718,0.235,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00076,Male,Business,Medium,High,No,4.15,No,0.488,0.622,0.433,0.135,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00077,Female,Arts & Humanities,High,Medium,Yes,3.47,Yes,0.432,0.523,0.51,0.628,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00078,Male,Social Sciences,Medium,High,Yes,3.17,Yes,0.632,0.645,0.616,0.911,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00079,Non-disclosed,Arts & Humanities,High,High,Yes,4.14,No,0.476,0.427,0.456,0.521,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00080,Female,Social Sciences,Medium,High,No,4.7,No,0.651,0.295,0.558,0.256,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00081,Male,Business,Medium,High,No,4.78,Yes,0.179,0.713,0.67,0.785,Yes,No,Yes,Yes,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00082,Male,STEM,Low,Medium,No,2.85,Yes,0.448,0.663,0.704,0.673,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00083,Male,Social Sciences,High,Medium,Yes,3.44,No,0.677,0.071,0.862,0.358,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00084,Female,Social Sciences,Low,High,No,3.58,No,0.749,0.41,0.456,0.361,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00085,Female,Education,Medium,Medium,No,2.94,No,0.501,0.383,0.643,0.247,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00086,Male,STEM,High,Medium,Yes,3.6,Yes,0.57,0.653,0.763,0.67,Yes,Yes,Yes,Yes,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00087,Female,STEM,Low,Medium,Yes,3.0,No,0.607,0.135,0.571,0.048,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00088,Male,STEM,High,Medium,Yes,3.87,No,0.69,0.245,0.172,0.388,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00089,Female,Arts & Humanities,Medium,Medium,No,3.26,Yes,0.566,0.617,0.588,0.713,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00090,Male,Business,Low,Medium,No,4.31,No,0.36,0.171,0.527,0.157,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00091,Female,Business,Medium,Low,Yes,3.07,No,0.655,0.269,0.694,0.372,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00092,Male,STEM,High,Low,No,3.04,No,0.344,0.23,0.506,0.334,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00093,Female,Health,High,Medium,No,4.06,Yes,0.477,0.568,0.571,0.66,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00094,Female,Health,High,Medium,No,2.81,No,0.612,0.192,0.524,0.247,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00095,Male,Education,Low,Medium,No,3.19,Yes,0.656,0.793,0.46,0.723,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00096,Female,Arts & Humanities,Medium,Medium,No,3.26,No,0.539,0.354,0.65,0.323,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00097,Male,Arts & Humanities,Medium,Medium,No,3.06,No,0.646,0.5,0.675,0.302,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00098,Female,Health,Medium,Low,No,3.46,Yes,0.485,0.708,0.72,0.852,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00099,Female,Business,Medium,Medium,No,3.14,No,0.462,0.408,0.559,0.504,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00100,Male,Business,Medium,High,Yes,3.48,Yes,0.43,0.95,0.449,0.603,Yes,No,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00101,Female,Arts & Humanities,Medium,Medium,Yes,2.74,Yes,0.762,0.586,0.694,0.486,No,No,No,No,No,No,Yes,Synthetic demonstration only - not real student data,1,0,0,1,0,ai_detection_tool,AI detection fairness stress test
STUD00102,Female,Health,High,High,Yes,3.66,Yes,0.631,0.903,0.717,0.576,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00103,Male,Health,Medium,High,No,3.25,No,0.43,0.569,0.36,0.331,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00104,Female,Business,Low,Low,No,2.55,No,0.468,0.345,0.585,0.294,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00105,Male,Education,Medium,Medium,No,2.46,No,0.425,0.12,0.652,0.166,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00106,Female,STEM,Low,Low,No,1.88,No,0.478,0.157,0.614,0.377,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00107,Female,Arts & Humanities,Low,Medium,Yes,2.76,Yes,0.801,0.444,0.517,0.706,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00108,Female,Health,High,Medium,No,3.01,Yes,0.443,0.619,0.353,0.981,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00109,Male,STEM,High,Medium,No,3.11,No,0.256,0.308,0.348,0.19,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00110,Female,Business,Low,Low,No,1.81,No,0.533,0.411,0.857,0.447,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00111,Female,Health,High,High,Yes,3.18,Yes,0.793,0.646,0.775,0.813,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00112,Female,Health,Medium,Low,Yes,1.53,No,0.372,0.388,0.501,0.543,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00113,Female,Education,High,Medium,No,2.69,Yes,0.551,0.275,0.55,0.745,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00114,Male,Business,High,Low,No,2.08,Yes,0.531,0.491,0.714,0.68,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00115,Female,Arts & Humanities,Low,Medium,Yes,2.42,No,0.639,0.355,0.65,0.519,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00116,Male,Health,Medium,Low,No,2.48,No,0.681,0.51,0.532,0.372,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00117,Female,Business,Medium,High,No,3.29,Yes,0.507,0.695,0.683,0.512,No,No,No,No,No,No,Yes,Synthetic demonstration only - not real student data,1,0,0,1,0,ai_detection_tool,AI detection fairness stress test
STUD00118,Female,STEM,Medium,High,Yes,4.16,Yes,0.565,0.793,0.476,0.808,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00119,Female,Social Sciences,Medium,Low,No,3.32,No,0.585,0.121,0.598,0.408,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00120,Female,Health,Medium,Medium,No,2.99,No,0.507,0.246,0.767,0.295,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00121,Male,STEM,Medium,High,No,3.3,Yes,0.305,0.737,0.434,0.692,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00122,Male,Social Sciences,Low,Medium,No,3.59,Yes,0.426,0.865,0.738,0.686,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00123,Male,Social Sciences,High,Medium,No,2.22,No,0.606,0.456,0.275,0.494,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00124,Male,Business,Low,Medium,No,3.82,Yes,0.385,0.565,0.568,0.594,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00125,Female,Social Sciences,High,Low,No,3.47,No,0.704,0.401,0.292,0.467,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00126,Male,Health,Low,Low,No,2.74,No,0.367,0.46,0.336,0.228,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
