student_id,gender,subject_area,socioeconomic_band,ai_access_level,weekly_genai_use_hours,ai_confidence_score_1_5,ai_training_completed,career_ai_tool_used,assessment_score_after_ai_integration,academic_misconduct_flag,demo_note
SURV00032,Female,Business,Medium,Adequate,3.9,3.04,No,No,76.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00033,Male,Business,Medium,Adequate,3.9,3.8,No,No,88.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00034,Male,Social Sciences,Medium,Strong,8.8,3.24,No,Yes,77.4,No,Synthetic survey-style data for dashboard demonstration only
SURV00035,Male,Business,High,Adequate,4.2,3.27,No,Yes,77.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00036,Female,Health,Medium,Strong,7.4,3.6,No,No,80.4,No,Synthetic survey-style data for dashboard demonstration only
SURV00037,Female,Education,Medium,Strong,7.8,3.7,Yes,No,92.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00038,Female,Business,Low,Strong,7.6,3.99,No,No,78.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00039,Female,Education,Medium,Limited,0.4,2.09,No,No,80.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00040,Male,Social Sciences,Medium,Adequate,2.6,4.21,Yes,No,75.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00041,Male,Arts & Humanities,High,Adequate,6.7,3.09,Yes,No,93.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00042,Male,Education,Medium,Limited,4.1,3.18,Yes,Yes,71.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00043,Male,STEM,Medium,Strong,9.0,5,Yes,Yes,82.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00044,Female,STEM,Low,Adequate,4.5,3.73,No,Yes,87.9,No,Synthetic survey-style data for dashboard demonstration only
SURV00045,Male,Health,Low,Adequate,1.8,4.29,No,Yes,78.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00046,Female,Arts & Humanities,Low,Adequate,3.4,4.07,No,No,85.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00047,Female,Business,Low,Adequate,2.6,4.16,No,No,80.4,No,Synthetic survey-style data for dashboard demonstration only
SURV00048,Male,Education,Low,Limited,0.6,3.44,No,Yes,73.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00049,Female,Business,Medium,Strong,6.2,2.93,No,No,65.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00050,Non-disclosed,Arts & Humanities,High,Strong,8.5,2.38,Yes,No,66.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00051,Male,Business,Medium,Adequate,5.8,4.8,No,Yes,71.4,No,Synthetic survey-style data for dashboard demonstration only
SURV00052,Female,Health,High,Adequate,4.7,3.43,No,No,86.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00053,Male,Arts & Humanities,Medium,Adequate,3.7,4.37,No,No,82.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00054,Female,Education,Medium,Strong,7.9,3.63,Yes,No,77.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00055,Male,STEM,High,Adequate,4.5,2.42,No,No,68.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00056,Female,Arts & Humanities,Low,Adequate,5.6,3.3,No,Yes,85.1,Yes,Synthetic survey-style data for dashboard demonstration only
SURV00057,Female,Business,Medium,Adequate,4.6,3.34,Yes,No,71.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00058,Male,STEM,High,Strong,6.7,3.41,No,No,96.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00059,Male,Health,Low,Adequate,4.9,4.9,No,Yes,89.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00060,Male,Business,Low,Adequate,2.9,4.46,Yes,Yes,86.1,Yes,Synthetic survey-style data for dashboard demonstration only
SURV00061,Male,Education,Medium,Strong,7.4,4.79,Yes,Yes,93.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00062,Male,Health,Low,Adequate,1.8,2.92,No,No,69.0,Yes,Synthetic survey-style data for dashboard demonstration only
SURV00063,Female,Business,Medium,Limited,1.1,2.78,Yes,No,66.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00064,Female,Education,Medium,Limited,0.5,3.04,No,Yes,91.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00065,Male,Business,Medium,Strong,7.7,4.52,Yes,Yes,100,No,Synthetic survey-style data for dashboard demonstration only
SURV00066,Female,Business,Medium,Adequate,1.5,2.71,No,No,73.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00067,Male,Arts & Humanities,Low,Limited,2.6,2.57,No,No,81.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00068,Female,Arts & Humanities,Low,Adequate,2.0,2.66,No,No,76.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00069,Male,Business,Medium,Limited,0,2.09,No,No,72.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00070,Male,Business,Low,Adequate,4.2,3.14,No,No,84.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00071,Male,Business,Medium,Adequate,3.8,3.73,No,Yes,73.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00072,Female,Education,Low,Strong,5.6,3.97,Yes,No,87.4,No,Synthetic survey-style data for dashboard demonstration only
SURV00073,Female,Business,Medium,Adequate,3.0,3.14,No,No,75.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00074,Male,Health,Medium,Adequate,3.0,3.48,Yes,Yes,79.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00075,Non-disclosed,Education,Medium,Adequate,7.2,3.24,No,No,85.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00076,Male,Social Sciences,Medium,Limited,3.1,3.78,Yes,No,79.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00077,Female,Health,High,Strong,5.4,3.51,Yes,Yes,77.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00078,Male,Education,High,Adequate,6.6,2.77,No,No,87.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00079,Male,Business,Low,Adequate,4.4,2.93,Yes,No,73.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00080,Female,Arts & Humanities,Medium,Adequate,2.0,2.43,No,No,61.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00081,Female,Business,Low,Adequate,3.2,4.02,Yes,No,93.9,No,Synthetic survey-style data for dashboard demonstration only
SURV00082,Male,STEM,Low,Adequate,1.6,4.11,No,Yes,80.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00083,Male,Arts & Humanities,Medium,Strong,7.6,4.26,Yes,No,78.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00084,Female,Education,Low,Adequate,4.9,2.96,No,No,82.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00085,Female,Business,Low,Limited,0.6,2.25,Yes,No,76.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00086,Male,Business,Low,Adequate,7.0,3.35,No,No,89.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00087,Female,Education,Medium,Adequate,7.3,3.63,No,Yes,81.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00088,Female,Business,High,Adequate,2.4,3.02,Yes,No,91.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00089,Male,Business,Low,Limited,1.6,2.66,No,No,83.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00090,Male,Health,Low,Limited,6.2,3.58,Yes,No,82.4,No,Synthetic survey-style data for dashboard demonstration only
SURV00091,Non-disclosed,STEM,Medium,Strong,9.3,3.98,No,Yes,86.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00092,Female,Education,Medium,Strong,10.6,4.35,Yes,Yes,87.9,No,Synthetic survey-style data for dashboard demonstration only
SURV00093,Female,Health,High,Adequate,3.1,3.38,No,No,62.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00094,Male,Education,Medium,Limited,3.2,3.56,No,Yes,81.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00095,Female,Health,Low,Limited,3.3,2.2,No,No,79.8,Yes,Synthetic survey-style data for dashboard demonstration only
SURV00096,Female,Business,Low,Adequate,5.5,2.92,No,No,84.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00097,Female,Health,Low,Adequate,4.9,2.8,No,No,76.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00098,Female,Health,Medium,Adequate,2.8,2.5,No,No,71.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00099,Female,STEM,Low,Limited,0.6,1.86,Yes,No,81.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00100,Male,Arts & Humanities,Low,Limited,2.1,3.91,No,No,63.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00101,Male,STEM,High,Adequate,7.1,4.47,No,Yes,97.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00102,Male,STEM,High,Strong,6.9,4.69,Yes,No,84.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00103,Female,Health,Medium,Strong,6.9,4.41,Yes,No,73.9,No,Synthetic survey-style data for dashboard demonstration only
SURV00104,Female,Health,Medium,Adequate,3.2,1.88,Yes,No,69.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00105,Male,STEM,Medium,Adequate,6.9,4.52,No,No,89.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00106,Female,Health,Low,Adequate,0.1,3.61,No,No,75.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00107,Male,Business,Low,Adequate,4.5,3.61,No,No,79.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00108,Female,Arts & Humanities,Medium,Strong,6.1,4.23,Yes,No,75.0,Yes,Synthetic survey-style data for dashboard demonstration only
SURV00109,Male,Arts & Humanities,High,Strong,8.7,3.71,No,Yes,89.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00110,Female,Education,Low,Adequate,0.1,3.49,No,No,72.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00111,Male,Social Sciences,Medium,Strong,8.1,4.67,No,No,99.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00112,Female,STEM,Low,Adequate,4.8,4.25,No,No,89.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00113,Male,Business,High,Strong,6.7,3.69,Yes,Yes,84.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00114,Male,Health,High,Strong,4.0,2.92,No,No,69.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00115,Male,STEM,High,Strong,7.9,4.54,Yes,No,73.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00116,Female,Business,Low,Adequate,3.4,2.33,No,No,69.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00117,Female,Arts & Humanities,Medium,Strong,6.3,2.32,No,No,74.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00118,Female,Health,Medium,Adequate,4.1,2.73,No,No,72.4,No,Synthetic survey-style data for dashboard demonstration only
SURV00119,Male,STEM,Low,Limited,4.4,3.44,No,No,72.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00120,Female,Social Sciences,Medium,Adequate,2.3,2.97,Yes,No,72.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00121,Female,Business,Low,Adequate,4.0,2.96,No,Yes,83.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00122,Male,STEM,Medium,Strong,7.7,3.81,No,No,73.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00123,Male,STEM,Medium,Strong,10.3,2.95,No,No,79.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00124,Female,Health,Medium,Adequate,3.8,3.42,No,No,89.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00125,Male,Business,High,Strong,8.1,3.17,Yes,No,84.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00126,Female,Arts & Humanities,Low,Strong,6.0,3.38,Yes,No,84.9,No,Synthetic survey-style data for dashboard demonstration only
SURV00127,Female,Health,Low,Adequate,4.4,3.5,No,No,75.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00128,Female,Arts & Humanities,Medium,Adequate,3.4,4.07,Yes,Yes,94.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00129,Male,STEM,Low,Limited,1.8,4.0,Yes,No,87.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00130,Male,Business,Medium,Strong,8.5,3.5,Yes,No,88.4,Yes,Synthetic survey-style data for dashboard demonstration only
SURV00131,Female,STEM,Medium,Adequate,5.4,1.83,No,No,62.9,No,Synthetic survey-style data for dashboard demonstration only
SURV00132,Female,Business,Low,Strong,7.6,4.12,No,Yes,78.4,No,Synthetic survey-style data for dashboard demonstration only
SURV00133,Male,Education,Medium,Adequate,2.5,2.91,No,No,97.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00134,Male,Social Sciences,Medium,Strong,6.1,4.57,No,No,75.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00135,Female,Education,Medium,Limited,2.2,2.94,Yes,No,71.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00136,Female,Business,Medium,Adequate,4.9,3.68,No,Yes,67.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00137,Male,Business,Low,Adequate,4.5,3.0,Yes,No,76.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00138,Male,STEM,Low,Limited,4.6,2.7,Yes,No,72.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00139,Male,Arts & Humanities,Medium,Adequate,4.7,2.96,No,No,84.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00140,Female,Health,Medium,Adequate,2.7,2.62,No,No,69.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00141,Female,Business,Medium,Adequate,2.8,4.17,No,Yes,67.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00142,Male,Arts & Humanities,Medium,Limited,2.5,2.28,No,No,83.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00143,Female,Social Sciences,Medium,Adequate,1.5,3.85,No,Yes,70.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00144,Male,Business,Low,Strong,5.7,2.94,Yes,Yes,81.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00145,Male,Health,Medium,Limited,1.4,1.85,No,Yes,68.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00146,Male,Social Sciences,Medium,Limited,2.4,2.9,No,No,62.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00147,Male,Education,Medium,Adequate,2.8,3.25,Yes,No,61.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00148,Female,STEM,Low,Limited,2.0,2.4,No,No,59.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00149,Female,Business,High,Strong,7.6,2.46,Yes,No,74.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00150,Male,STEM,Medium,Adequate,4.5,2.94,No,No,66.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00151,Male,Business,High,Limited,2.2,2.81,No,Yes,81.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00152,Male,STEM,Low,Adequate,6.4,3.95,No,Yes,79.0,Yes,Synthetic survey-style data for dashboard demonstration only
SURV00153,Male,Arts & Humanities,Low,Adequate,4.7,3.53,No,Yes,79.4,No,Synthetic survey-style data for dashboard demonstration only
SURV00154,Female,Arts & Humanities,High,Strong,4.7,2.83,Yes,Yes,82.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00155,Non-disclosed,Business,Medium,Adequate,3.2,2.49,No,No,80.9,No,Synthetic survey-style data for dashboard demonstration only
SURV00156,Female,Business,High,Strong,6.8,4.14,Yes,Yes,74.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00157,Male,STEM,Medium,Adequate,3.8,3.09,No,No,72.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00158,Female,Health,High,Strong,6.4,4.52,Yes,No,100,No,Synthetic survey-style data for dashboard demonstration only
SURV00159,Male,Arts & Humanities,High,Strong,8.8,4.14,No,No,80.4,No,Synthetic survey-style data for dashboard demonstration only
SURV00160,Male,Social Sciences,Medium,Strong,6.9,3.9,No,No,77.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00161,Male,Health,Low,Adequate,2.6,3.71,No,Yes,83.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00162,Male,STEM,Low,Adequate,4.5,2.68,Yes,No,82.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00163,Male,Business,High,Adequate,5.9,3.16,Yes,No,81.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00164,Male,Business,Medium,Adequate,2.1,2.88,Yes,No,87.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00165,Female,Health,Medium,Strong,6.0,4.03,Yes,No,92.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00166,Female,Business,High,Strong,8.4,5,Yes,No,96.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00167,Female,STEM,Medium,Adequate,4.3,2.81,Yes,Yes,81.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00168,Female,Business,Low,Limited,2.2,2.75,Yes,Yes,79.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00169,Female,Arts & Humanities,High,Adequate,6.7,2.71,Yes,No,91.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00170,Female,Arts & Humanities,Medium,Adequate,3.4,3.04,No,No,68.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00171,Female,Arts & Humanities,High,Adequate,4.0,3.95,No,No,87.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00172,Male,STEM,Low,Strong,9.7,4.23,No,No,98.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00173,Female,Business,Medium,Limited,1.9,3.78,No,Yes,75.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00174,Male,Business,High,Strong,7.4,3.42,Yes,Yes,71.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00175,Non-disclosed,Health,Medium,Adequate,3.9,3.39,No,No,84.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00176,Male,Business,Low,Limited,3.0,3.66,Yes,No,85.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00177,Female,STEM,High,Strong,7.7,3.45,Yes,No,81.9,No,Synthetic survey-style data for dashboard demonstration only
SURV00178,Male,Business,Low,Limited,4.3,2.08,Yes,No,61.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00179,Female,Arts & Humanities,Low,Adequate,3.1,2.89,No,No,81.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00180,Female,Social Sciences,Medium,Adequate,3.0,2.69,Yes,Yes,70.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00181,Female,Education,Low,Strong,7.4,3.51,Yes,No,74.9,No,Synthetic survey-style data for dashboard demonstration only
SURV00182,Female,Business,High,Strong,5.1,2.68,No,No,79.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00183,Female,Business,Medium,Strong,6.0,3.97,Yes,No,83.8,Yes,Synthetic survey-style data for dashboard demonstration only
SURV00184,Female,Arts & Humanities,Low,Adequate,2.3,3.03,Yes,No,75.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00185,Male,Business,High,Adequate,2.9,4.15,Yes,Yes,83.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00186,Male,Social Sciences,High,Adequate,2.2,4.26,No,No,69.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00187,Female,Business,Low,Adequate,4.9,1.95,No,No,73.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00188,Non-disclosed,Business,Medium,Adequate,3.1,2.38,Yes,Yes,85.4,No,Synthetic survey-style data for dashboard demonstration only
SURV00189,Female,Education,High,Strong,6.7,4.19,No,No,84.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00190,Male,Social Sciences,Medium,Adequate,6.2,3.84,No,Yes,72.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00191,Female,Social Sciences,Medium,Adequate,3.9,2.55,No,No,65.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00192,Female,Business,Medium,Adequate,1.6,3.3,No,No,92.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00193,Male,STEM,Medium,Adequate,6.2,3.23,No,No,70.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00194,Male,Health,Medium,Adequate,5.1,3.14,No,Yes,84.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00195,Female,Arts & Humanities,Medium,Adequate,4.0,1.95,Yes,No,76.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00196,Female,STEM,Medium,Strong,5.5,3.15,Yes,No,84.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00197,Non-disclosed,STEM,Medium,Adequate,6.8,3.68,No,No,78.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00198,Female,Health,Medium,Limited,2.7,2.35,No,Yes,82.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00199,Male,Education,High,Strong,7.0,4.7,No,Yes,88.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00200,Female,STEM,Medium,Adequate,2.3,4.65,No,Yes,90.9,No,Synthetic survey-style data for dashboard demonstration only
SURV00201,Female,Health,Low,Adequate,2.6,3.45,No,No,72.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00202,Female,STEM,High,Strong,7.8,4.24,Yes,Yes,76.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00203,Female,STEM,High,Adequate,4.1,3.81,No,No,70.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00204,Male,Social Sciences,Medium,Adequate,2.7,4.59,No,Yes,84.9,No,Synthetic survey-style data for dashboard demonstration only
SURV00205,Male,STEM,Low,Limited,3.2,1.75,Yes,No,81.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00206,Male,Social Sciences,High,Strong,5.8,3.54,No,No,78.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00207,Male,STEM,High,Limited,0.2,3.65,No,No,83.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00208,Male,Business,Medium,Adequate,4.3,4.8,No,No,97.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00209,Female,STEM,Low,Adequate,6.4,2.69,Yes,Yes,73.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00210,Female,Health,Medium,Adequate,4.0,2.07,Yes,No,74.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00211,Male,STEM,High,Adequate,6.5,2.42,Yes,No,79.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00212,Male,Business,Low,Strong,7.7,3.41,Yes,No,95.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00213,Female,Arts & Humanities,High,Adequate,3.8,4.93,No,No,94.4,No,Synthetic survey-style data for dashboard demonstration only
SURV00214,Male,Arts & Humanities,Medium,Strong,8.3,3.43,No,Yes,76.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00215,Female,Business,Medium,Adequate,1.5,2.82,No,Yes,78.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00216,Male,Education,Medium,Limited,1.0,3.34,No,Yes,71.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00217,Female,Health,Medium,Adequate,0,2.58,No,Yes,71.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00218,Female,Business,Low,Strong,4.6,4.5,No,No,100,No,Synthetic survey-style data for dashboard demonstration only
SURV00219,Female,Arts & Humanities,Low,Adequate,3.9,2.57,Yes,Yes,78.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00220,Female,Education,High,Strong,7.9,2.89,No,No,75.6,No,Synthetic survey-style data for dashboard demonstration only
SURV00221,Female,STEM,Medium,Adequate,3.7,2.07,Yes,No,94.9,No,Synthetic survey-style data for dashboard demonstration only
SURV00222,Male,STEM,High,Adequate,5.3,3.11,No,Yes,69.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00223,Female,Health,Medium,Adequate,2.4,3.77,Yes,No,74.3,No,Synthetic survey-style data for dashboard demonstration only
